�����Ͻ�,���޴ɷ�(MW),�������(MW),�ִ뿹������(MW),���޿����(MW),���޿�����(%),������(MW),�������(%)
20260523161000,81147.2,51341.1,59900.0,29806.2,58.0552,9562.76,18.1191
20260523161500,81163.8,51573.6,59900.0,29590.2,57.3747,10260.6,19.343
20260523162000,81045.6,51936.0,59900.0,29109.6,56.0491,10362.0,19.4025
20260523162500,81042.9,52178.3,59900.0,28864.6,55.3191,11420.7,21.2842
20260523163000,80886.1,52232.1,59900.0,28654.0,54.859,11475.6,21.3728
20260523163500,80838.7,52650.3,59900.0,28188.3,53.5387,11731.9,21.6586
20260523164000,80628.6,52800.6,59900.0,27828.0,52.704,11325.8,20.8635
20260523164500,80534.4,52949.6,59900.0,27584.8,52.0963,11783.8,21.6625
20260523165000,80250.0,53388.8,59900.0,26861.2,50.3124,11276.6,20.5723
20260523165500,80236.0,53652.8,59900.0,26583.2,49.5466,11418.4,20.8911
20260523170000,80014.9,53842.9,59900.0,26172.1,48.6082,11451.3,20.8837
20260523170500,80077.0,53671.8,59900.0,26405.1,49.1974,12438.1,22.7536
20260523171000,80048.8,53864.4,59900.0,26184.4,48.6116,12590.4,22.9385
20260523171500,79970.1,54353.1,59900.0,25617.0,47.1308,12580.5,22.7321
20260523172000,79958.0,54659.5,59900.0,25298.5,46.2837,12490.3,22.4295
20260523172500,79898.1,55356.9,59900.0,24541.1,44.3325,11852.8,21.0239
20260523173000,79752.9,55499.6,59900.0,24253.3,43.6999,11723.0,20.7325
20260523173500,79718.9,55772.5,59900.0,23946.4,42.9359,11971.7,21.0729
20260523174000,79566.4,56049.1,59900.0,23517.4,41.9585,11719.5,20.5296
20260523174500,80452.5,56544.0,59900.0,23908.5,42.2829,12385.5,21.5062
20260523175000,80227.2,56711.0,59900.0,23516.1,41.4666,12185.2,21.1157
20260523175500,80181.8,57107.4,59900.0,23074.4,40.4052,12063.3,20.7604
20260523180000,79973.5,57228.0,59900.0,22745.5,39.7455,11875.8,20.401
20260523180500,80082.5,57587.9,59900.0,22494.6,39.0614,11825.3,20.1714
20260523181000,79942.9,57952.6,59900.0,21990.3,37.9453,11592.3,19.6684
20260523181500,79912.8,58222.0,59900.0,21690.8,37.2553,11889.1,20.0567
20260523182000,79810.1,58178.1,59900.0,21631.9,37.1823,12043.8,20.3313
20260523182500,79712.9,58484.8,59900.0,21228.1,36.2969,11964.6,20.1038
20260523183000,79607.6,58585.3,59900.0,21022.3,35.8833,11858.8,19.8973
20260523183500,79526.8,59089.2,59900.0,20437.6,34.5877,11311.3,18.8135
20260523184000,79459.8,59249.3,59900.0,20210.5,34.1109,11122.3,18.4479
20260523184500,79394.7,59196.1,59900.0,20198.6,34.1216,10999.0,18.2491
20260523185000,79235.4,59061.0,59900.0,20174.4,34.1586,11034.2,18.3697
20260523185500,79218.0,59478.2,59900.0,19739.8,33.1882,10680.2,17.6558
20260523190000,79179.6,59431.1,59900.0,19748.6,33.2294,10744.8,17.7589
20260523190500,79265.3,59729.4,59900.0,19535.8,32.7072,10629.5,17.5073
20260523191000,79185.8,59852.7,59900.0,19333.2,32.3013,10459.1,17.1943
20260523191500,79186.1,60093.6,59900.0,19092.5,31.7713,10238.5,16.7561
20260523192000,79100.6,60044.9,59900.0,19055.7,31.7358,10272.7,16.832
20260523192500,79085.4,60344.3,59900.0,18741.1,31.057,9921.68,16.1796
20260523193000,79026.2,60352.6,59900.0,18673.5,30.9407,9987.05,16.2839
20260523193500,79102.5,60463.8,59900.0,18638.7,30.8262,10290.4,16.7245
20260523194000,79006.5,60438.8,59900.0,18567.8,30.7216,10332.2,16.8137
20260523194500,78982.1,60915.4,59900.0,18066.7,29.6587,10017.6,16.1795
20260523195000,78921.3,61009.6,59900.0,17911.7,29.3588,9744.64,15.7218
20260523195500,78918.3,61014.8,59900.0,17903.5,29.3429,9795.02,15.8012
20260523200000,78874.3,60806.3,59900.0,18068.0,29.714,9966.03,16.1286
20260523200500,79487.6,61039.5,59900.0,18448.2,30.2234,10007.6,16.1298
20260523201000,79438.4,60710.3,59900.0,18728.1,30.8483,10292.3,16.6804
20260523201500,79449.6,60647.4,59900.0,18802.1,31.0023,10508.2,17.0472
20260523202500,79405.0,60667.8,59900.0,18737.2,30.8849,10430.1,16.921
20260523203000,79464.7,60568.2,59900.0,18896.4,31.1986,10459.0,16.972
20260523203500,79395.1,60560.6,59900.0,18834.6,31.1004,10189.1,16.5575
20260523204000,79396.5,60481.5,59900.0,18915.0,31.274,10409.1,16.92
20260523204500,79385.0,60308.1,59900.0,19076.9,31.6324,10772.2,17.5719
20260523205000,79331.7,60014.6,59900.0,19317.1,32.1873,11125.1,18.2409
20260523205500,79364.0,60033.6,59900.0,19330.5,32.1994,10959.2,17.9509
20260523210000,79340.9,59760.5,59900.0,19580.4,32.7648,10727.5,17.6501
20260523210500,79426.1,59575.9,59900.0,19850.1,33.3191,10430.5,17.2136
20260523211000,79422.0,59454.7,59900.0,19967.3,33.584,10546.8,17.4329
20260523211500,79364.6,59356.6,59900.0,20008.0,33.7081,10541.7,17.4614
20260523212000,79339.5,59353.8,59900.0,19985.7,33.6722,10606.7,17.5764
20260523212500,79397.8,59015.0,59900.0,20382.7,34.5382,11133.0,18.554
20260523213000,79338.2,59350.7,59900.0,19987.5,33.677,10549.2,17.484
20260523213500,79279.0,59042.0,59900.0,20237.1,34.2757,10817.0,18.0192
20260523214000,79208.6,59078.5,59900.0,20130.1,34.0736,10456.5,17.4039
20260523214500,79182.1,58747.4,59900.0,20434.7,34.7839,10799.7,18.0773
20260523215000,79175.7,58475.6,59900.0,20700.1,35.3995,10924.0,18.3313
20260523215500,79169.0,58329.1,59900.0,20839.9,35.7281,11149.1,18.7727
20260523220000,79097.0,58512.6,59900.0,20584.5,35.1796,10954.8,18.3994
20260523220500,79177.0,58781.8,59900.0,20395.2,34.6965,10638.1,17.7996
20260523221000,79138.0,58985.3,59900.0,20152.7,34.1656,10182.8,16.9763
20260523221500,79138.3,59268.9,59900.0,19869.3,33.524,10121.6,16.7941
20260523222000,79116.4,58736.7,59900.0,20379.7,34.6966,10570.2,17.6982
20260523222500,79115.8,58752.7,59900.0,20363.2,34.6591,10508.7,17.5859
20260523223000,79105.6,58345.6,59900.0,20760.0,35.5812,10905.5,18.3736
20260523223500,79359.1,58347.2,59900.0,21011.9,36.0119,10877.4,18.3335
20260523224000,79350.1,57998.8,59900.0,21351.3,36.8133,10524.2,17.842
20260523224500,79354.4,57817.6,59900.0,21536.8,37.2495,10638.7,18.0916
20260523225000,79348.5,57562.7,59900.0,21785.7,37.847,10761.1,18.3797
20260523225500,79326.8,57506.1,59900.0,21820.7,37.945,10473.9,17.9067
20260523230000,79296.8,57605.5,59900.0,21691.3,37.655,10360.6,17.6861
